,Player_name,Player_ID,Season_start,Season_end
439,Sam Bowie,bowiesa01,1985,1995
440,Orbie Bowling,bowlior01,1968,1968
441,Ira Bowman,bowmair01,2000,2002
442,Ky Bowman,bowmaky01,2020,2020
443,Nate Bowman,bowmana01,1967,1972
444,Donnie Boyce,boycedo01,1996,1997
445,Dennis Boyd,boydde01,1979,1979
446,Freddie Boyd,boydfr01,1973,1978
447,Ken Boyd,boydke01,1975,1975
448,Earl Boykins,boykiea01,1999,2012
449,Harry Boykoff,boykoha01,1950,1951
450,Winford Boynes,boynewi01,1979,1981
451,Cedric Bozeman,bozemce01,2007,2007
452,Steve Bracey,bracest01,1973,1975
453,Craig Brackins,brackcr01,2011,2012
454,Gary Bradds,braddga01,1965,1971
455,Alex Bradley,bradlal02,1982,1982
456,Alonzo Bradley,bradlal01,1978,1980
457,Avery Bradley,bradlav01,2011,2021
458,Bill Bradley,bradlbi02,1968,1968
459,Bill Bradley,bradlbi01,1968,1977
460,Charles Bradley,bradlch01,1982,1984
461,Dudley Bradley,bradldu01,1980,1989
462,Jim Bradley,bradlji01,1974,1976
463,Joe Bradley,bradljo01,1950,1950
464,Michael Bradley,bradlmi01,2002,2006
465,Shawn Bradley,bradlsh01,1994,2005
466,Tony Bradley,bradlto01,2018,2021
467,Mark Bradtke,bradtma01,1997,1997
468,Marques Bragg,braggma01,1996,1996
469,Torraye Braggs,braggto01,2004,2005
470,A.J. Bramlett,bramlaj01,2000,2000
471,Adrian Branch,brancad01,1987,1990
472,Elton Brand,brandel01,2000,2016
473,Terrell Brandon,brandte01,1992,2002
474,Bob Brannum,brannbo01,1950,1955
475,Brad Branson,bransbr01,1982,1983
476,Jesse Branson,bransje01,1966,1968
477,Jarrell Brantley,brantja01,2020,2021
478,Jim Brasco,brascji01,1953,1953
479,Mike Bratz,bratzmi01,1978,1986
480,Carl Braun,braunca01,1948,1962
481,Ignas Brazdeikis,brazdig01,2020,2021
482,Tim Breaux,breauti01,1995,1998
483,J.R. Bremer,bremejr01,2003,2004
484,Pete Brennan,brennpe01,1959,1959
485,Tom Brennan,brennto01,1955,1955
486,Randy Breuer,breuera01,1984,1994
487,Corey Brewer,breweco01,2008,2020
488,Jamison Brewer,breweja01,2002,2005
489,Jim Brewer,breweji01,1974,1982
490,Ron Brewer,brewero01,1979,1986
491,Ronnie Brewer,brewero02,2007,2014
492,Primož Brezec,brezepr01,2002,2010
493,Frankie Brian,brianfr01,1950,1956
494,Frank Brickowski,brickfr01,1985,1997
495,Junior Bridgeman,bridgju01,1976,1987
496,Bill Bridges,bridgbi01,1963,1975
497,Mikal Bridges,bridgmi01,2019,2021
498,Miles Bridges,bridgmi02,2019,2021
499,Al Brightman,brighal01,1947,1947
500,Amida Brimah,brimaam01,2021,2021
501,Aud Brindley,brindau01,1947,1947
502,Isaiah Briscoe,briscis01,2019,2019
503,John Brisker,briskjo01,1970,1975
504,Oshae Brissett,brissos01,2020,2021
505,Allan Bristow,bristal01,1974,1983
506,Tyrone Britt,brittty01,1968,1968
507,Wayman Britt,brittwa01,1978,1978
508,Mike Brittain,brittmi01,1986,1987
509,Dave Britton,brittda01,1981,1981
510,Jon Brockman,brockjo01,2010,2012
511,Ryan Broekhoff,broekry01,2019,2020
512,Jim Brogan,brogaji01,1982,1983
513,Malcolm Brogdon,brogdma01,2017,2021
514,Gary Brokaw,brokaga01,1975,1978
515,Price Brookfield,brookpr01,1949,1950
516,Clarence Brookins,brookcl01,1971,1971
517,Aaron Brooks,brookaa01,2008,2018
518,Armoni Brooks,brookar01,2021,2021
519,Dillon Brooks,brookdi01,2018,2021
520,Kevin Brooks,brookke01,1992,1994
521,MarShon Brooks,brookma01,2012,2019
522,Michael Brooks,brookmi01,1981,1988
523,Scott Brooks,brooksc01,1989,1998
524,Andre Brown,brownan01,2007,2009
525,Anthony Brown,brownan02,2016,2018
526,Bob Brown,brownbo01,1949,1950
527,Bobby Brown,brownbo02,2009,2018
528,Bruce Brown,brownbr01,2019,2021
529,Charlie Brown,brownch02,2020,2021
530,Chucky Brown,brownch01,1990,2002
531,Damone Brown,brownda02,2002,2005
532,Darrell Brown,brownda01,1949,1949
533,Dee Brown,brownde01,1991,2002
534,Dee Brown,brownde03,2007,2009
